site_id,avg_2022_adj,avg_2022_unadj,avg_2023_adj,avg_2023_unadj,avg_2024_adj,avg_2024_unadj,avg2022_24_adj,avg2022_24_unadj,yrs_over12_adj,yrs_over12_unadj,yrs_over9_adj,yrs_over9_unadj,over35_adj,over35_unadj,max_read_adj,max_read_unadj,min_read_adj,min_read_unadj,min_date_adj,max_date_adj,daily_cnt_adj,cnty_nm_adj
481671034,7.995086705202312,7.995086705202312,9.771337579617834,9.771337579617834,7.031707317073171,7.031707317073171,8.266043867297773,8.266043867297773,0.0,0.0,1.0,1.0,3.0,3.0,50.9,50.9,0.1,0.1,January 2018,December 2024,2301.0,
482010024,10.186233766233766,10.186233766233766,10.380678851174936,10.380678851174936,10.857104557640753,10.857104557640753,10.47467239168315,10.47467239168315,0.0,0.0,7.0,7.0,4.0,4.0,42.9,42.9,0.0,0.0,January 2018,December 2024,2700.0,
482010046,11.772159090909092,11.772159090909092,13.032551319648094,13.032551319648094,12.824464831804285,12.824464831804285,12.54305841412049,12.54305841412049,3.0,3.0,4.0,4.0,3.0,3.0,44.7,44.7,-0.8,-0.8,May 2021,December 2024,1248.0,
482010055,9.45848214285714,9.45848214285714,10.837709497206705,10.837709497206705,10.6533527696793,10.6533527696793,10.316514803247715,10.316514803247715,0.0,0.0,3.0,3.0,2.0,2.0,40.7,40.7,2.7,2.7,April 2022,December 2024,925.0,
482010058,10.496078431372547,10.496078431372547,11.510028653295128,11.510028653295128,10.396363636363636,10.396363636363636,10.800823573677103,10.800823573677103,0.0,0.0,6.0,6.0,4.0,4.0,50.2,50.2,-0.1,-0.1,January 2018,December 2024,2430.0,
482010066,8.035483870967742,8.035483870967742,9.41608187134503,9.41608187134503,9.060119047619049,9.060119047619049,8.837228263310607,8.837228263310607,0.0,0.0,2.0,2.0,3.0,3.0,43.6,43.6,-0.3,-0.3,January 2021,December 2024,1281.0,
482011034,9.786167146974064,9.786167146974064,10.613636363636363,10.613636363636363,10.17185628742515,10.17185628742515,10.19055326601186,10.19055326601186,0.0,0.0,7.0,7.0,6.0,6.0,47.4,47.4,0.0,0.0,January 2018,December 2024,2408.0,
482011035,10.622435897435896,10.622435897435896,11.320558375634516,11.320558375634516,10.74064914992272,10.74064914992272,10.89454780766438,10.89454780766438,0.0,0.0,7.0,7.0,13.0,13.0,46.7,46.7,1.6,1.6,January 2018,December 2024,5255.0,
482011039,8.709417040358744,8.709417040358744,9.787113402061856,9.787113402061856,9.56910229645094,9.56910229645094,9.35521091295718,9.35521091295718,0.0,0.0,2.0,2.0,8.0,8.0,47.7,47.7,-0.8,-0.8,January 2018,December 2024,3925.0,
482011050,8.436389684813754,8.436389684813754,8.641111111111112,8.641111111111112,7.743465909090909,7.743465909090909,8.273655568338592,8.273655568338592,0.0,0.0,0.0,0.0,1.0,1.0,45.6,45.6,1.4,1.4,January 2018,December 2024,2357.0,
482011052,11.252023121387282,11.252023121387282,12.416519174041298,12.416519174041298,11.906470588235294,11.906470588235294,11.858337627887956,11.858337627887956,1.0,1.0,7.0,7.0,5.0,5.0,44.2,44.2,0.9,0.9,January 2018,December 2024,1634.0,
483390078,9.688252148997137,9.688252148997137,10.187777777777775,10.187777777777775,12.04845070422535,12.04845070422535,10.641493543666757,10.641493543666757,1.0,1.0,4.0,4.0,5.0,5.0,39.7,39.7,-0.1,-0.1,January 2018,December 2024,2363.0,
